book_name,top_k,uses_hnsw,latency_ms,plan_type
13. Towers of Midnight,5,True,4.354,HNSW
13. Towers of Midnight,10,True,4.722,HNSW
13. Towers of Midnight,15,True,4.644,HNSW
13. Towers of Midnight,20,True,4.261,HNSW
13. Towers of Midnight,25,True,4.166,HNSW
13. Towers of Midnight,30,True,4.565,HNSW
13. Towers of Midnight,31,True,4.358,HNSW
13. Towers of Midnight,32,True,5.149,HNSW
13. Towers of Midnight,33,True,4.249,HNSW
13. Towers of Midnight,34,True,5.396,HNSW
13. Towers of Midnight,35,True,4.639,HNSW
13. Towers of Midnight,36,True,5.088,HNSW
13. Towers of Midnight,37,True,4.676,HNSW
13. Towers of Midnight,38,False,4529.693,Bitmap
13. Towers of Midnight,39,False,2665.912,Bitmap
14. A Memory of Light,1,True,4.603,HNSW
14. A Memory of Light,5,True,4.373,HNSW
14. A Memory of Light,10,True,5.409,HNSW
14. A Memory of Light,15,True,4.045,HNSW
14. A Memory of Light,20,True,4.271,HNSW
14. A Memory of Light,25,True,4.192,HNSW
14. A Memory of Light,30,True,4.296,HNSW
14. A Memory of Light,31,True,4.226,HNSW
14. A Memory of Light,32,True,4.789,HNSW
14. A Memory of Light,33,True,4.071,HNSW
14. A Memory of Light,34,True,4.428,HNSW
14. A Memory of Light,35,True,4.327,HNSW
14. A Memory of Light,36,True,4.224,HNSW
14. A Memory of Light,37,True,4.607,HNSW
14. A Memory of Light,38,False,4782.128,Bitmap
14. A Memory of Light,39,False,2849.939,Bitmap
05. The Fires of Heaven,1,True,4.104,HNSW
05. The Fires of Heaven,5,True,4.558,HNSW
05. The Fires of Heaven,10,True,4.431,HNSW
05. The Fires of Heaven,15,True,4.729,HNSW
05. The Fires of Heaven,20,True,4.743,HNSW
05. The Fires of Heaven,25,True,5.278,HNSW
05. The Fires of Heaven,30,True,4.408,HNSW
05. The Fires of Heaven,31,True,4.923,HNSW
05. The Fires of Heaven,32,True,4.846,HNSW
05. The Fires of Heaven,33,True,4.385,HNSW
05. The Fires of Heaven,34,True,4.309,HNSW
05. The Fires of Heaven,35,True,5.257,HNSW
05. The Fires of Heaven,36,True,4.655,HNSW
05. The Fires of Heaven,37,True,4.638,HNSW
05. The Fires of Heaven,38,False,5468.035,Bitmap
05. The Fires of Heaven,39,False,3030.627,Bitmap
04. The Shadow Rising,1,True,5.384,HNSW
04. The Shadow Rising,5,True,6.005,HNSW
04. The Shadow Rising,10,True,4.376,HNSW
04. The Shadow Rising,15,True,4.355,HNSW
04. The Shadow Rising,20,True,4.182,HNSW
04. The Shadow Rising,25,True,4.572,HNSW
04. The Shadow Rising,30,True,4.219,HNSW
04. The Shadow Rising,31,True,4.491,HNSW
04. The Shadow Rising,32,True,4.083,HNSW
04. The Shadow Rising,33,True,9.248,HNSW
04. The Shadow Rising,34,True,4.51,HNSW
04. The Shadow Rising,35,True,4.298,HNSW
04. The Shadow Rising,36,True,4.687,HNSW
04. The Shadow Rising,37,True,4.352,HNSW
04. The Shadow Rising,38,False,5429.48,Bitmap
04. The Shadow Rising,39,False,3230.911,Bitmap
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",1,True,4.211,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",5,True,4.168,HNSW
